"""Question ID"",""Subject"",""Question Text"",""Options"",""Correct Answer"",""Difficulty Level"",""Skill Type"",""Topic"",""Subtopic"""
"""Q053"",""Physics"",""A thin lens has a power of +5 D. Its focal length in cm is:"",""A) 10;B) 20;C) 25;D) 50"",""B"",""Medium"",""Formula Application"",""Optics"",""Geometrical Optics"""
"""Q001"",""Mathematics"",""The number of real roots of the equation x⁴ - 4x² + 4 = 0 is:"",""A) 0;B) 1;C) 2;D) 4"",""C"",""Medium"",""Analytical Skills"",""Algebra"",""Polynomial Equations"""
"""Q002"",""Physics"",""A particle of mass 1 kg is projected at an angle of 45° with a speed of 20 m/s (g = 10 m/s²). The maximum height reached is:"",""A) 10 m;B) 15 m;C) 20 m;D) 25 m"",""A"",""Medium"",""Formula Application"",""Mechanics"",""Projectile Motion"""
"""Q003"",""Chemistry"",""The oxidation state of Mn in [MnO₄]⁻ is:"",""A) +5;B) +6;C) +7;D) +8"",""C"",""Medium"",""Analytical Skills"",""Inorganic Chemistry"",""Redox Reactions"""
"""Q004"",""Mathematics"",""The value of ∫(0 to π/2) cos²x dx is:"",""A) π/4;B) π/2;C) π;D) 2π"",""A"",""Medium"",""Formula Application"",""Calculus"",""Definite Integrals"""
"""Q005"",""Physics"",""Two capacitors of 3 μF and 6 μF are connected in series across a 12 V battery. The charge on the 3 μF capacitor is:"",""A) 12 μC;B) 18 μC;C) 24 μC;D) 36 μC"",""C"",""Medium"",""Formula Application"",""Electrodynamics"",""Capacitance"""
"""Q006"",""Chemistry"",""The half-life of a first-order reaction is 20 minutes. The time required for 75% completion is:"",""A) 20 min;B) 40 min;C) 60 min;D) 80 min"",""B"",""Hard"",""Formula Application"",""Physical Chemistry"",""Chemical Kinetics"""
"""Q007"",""Mathematics"",""If the matrix A = [[2, 1], [1, 2]] has eigenvalues λ₁ and λ₂, then λ₁ + λ₂ is:"",""A) 2;B) 3;C) 4;D) 5"",""C"",""Hard"",""Analytical Skills"",""Algebra"",""Matrices"""
"""Q008"",""Physics"",""A uniform rod of length 2 m and mass 4 kg is pivoted at one end. The minimum force applied perpendicularly at the other end to hold it horizontal (g = 10 m/s²) is:"",""A) 20 N;B) 40 N;C) 60 N;D) 80 N"",""B"",""Medium"",""Formula Application"",""Mechanics"",""Rotational Motion"""
"""Q009"",""Chemistry"",""The number of sigma bonds in ethyne (C₂H₂) is:"",""A) 2;B) 3;C) 4;D) 5"",""B"",""Medium"",""Analytical Skills"",""Organic Chemistry"",""Chemical Bonding"""
"""Q010"",""Mathematics"",""The sum of the infinite series 1 + 1/2 + 1/4 + 1/8 + ... is:"",""A) 1;B) 2;C) 3;D) 4"",""B"",""Medium"",""Formula Application"",""Algebra"",""Geometric Series"""
"""Q011"",""Physics"",""A ball is dropped from a height of 20 m (g = 10 m/s²). The time taken to hit the ground is:"",""A) 1 s;B) 2 s;C) 3 s;D) 4 s"",""B"",""Medium"",""Formula Application"",""Mechanics"",""Kinematics"""
"""Q012"",""Chemistry"",""The pH of a 0.1 M solution of a weak acid (Ka = 10⁻⁵) is approximately:"",""A) 2;B) 3;C) 4;D) 5"",""B"",""Hard"",""Formula Application"",""Physical Chemistry"",""Ionic Equilibrium"""
"""Q013"",""Mathematics"",""The number of ways to arrange 5 distinct books on a shelf is:"",""A) 60;B) 120;C) 240;D) 720"",""B"",""Medium"",""Formula Application"",""Combinatorics"",""Permutations"""
"""Q014"",""Physics"",""A wire of resistance 10 Ω is stretched to double its length. The new resistance is:"",""A) 20 Ω;B) 30 Ω;C) 40 Ω;D) 50 Ω"",""C"",""Medium"",""Formula Application"",""Electrodynamics"",""Current Electricity"""
"""Q015"",""Chemistry"",""The product of the reaction CH₃CH=CH₂ + HBr in the presence of peroxide is:"",""A) CH₃CH₂CH₂Br;B) CH₃CHBrCH₃;C) CH₂BrCH₂CH₃;D) CH₃CH₂Br"",""A"",""Hard"",""Analytical Skills"",""Organic Chemistry"",""Addition Reactions"""
"""Q016"",""Mathematics"",""If sinθ + cosθ = √2, then the value of sinθ cosθ is:"",""A) 1/2;B) 1/√2;C) √2;D) 1"",""A"",""Medium"",""Analytical Skills"",""Trigonometry"",""Trigonometric Identities"""
"""Q017"",""Physics"",""The de Broglie wavelength of an electron accelerated through 100 V (h = 6.6 × 10⁻³⁴ J·s, m = 9.1 × 10⁻³¹ kg, e = 1.6 × 10⁻¹⁹ C) is approximately:"",""A) 0.12 nm;B) 0.24 nm;C) 0.36 nm;D) 0.48 nm"",""A"",""Hard"",""Formula Application"",""Modern Physics"",""Quantum Mechanics"""
"""Q018"",""Chemistry"",""The coordination number of Fe in [Fe(CN)₆]⁴⁻ is:"",""A) 4;B) 6;C) 8;D) 12"",""B"",""Medium"",""Conceptual Understanding"",""Inorganic Chemistry"",""Coordination Compounds"""
"""Q019"",""Mathematics"",""The area enclosed by the curve y = x² and the line y = 4 from x = 0 to x = 2 is:"",""A) 8/3;B) 16/3;C) 20/3;D) 24/3"",""B"",""Hard"",""Formula Application"",""Calculus"",""Area Under Curves"""
"""Q020"",""Physics"",""A Carnot engine operates between 600 K and 300 K. Its efficiency is:"",""A) 25%;B) 50%;C) 75%;D) 100%"",""B"",""Medium"",""Formula Application"",""Thermodynamics"",""Heat Engines"""
"""Q021"",""Chemistry"",""The solubility product of Ag₂CrO₄ is 1.1 × 10⁻¹². The solubility in mol/L is approximately:"",""A) 6.5 × 10⁻⁵;B) 1.0 × 10⁻⁴;C) 1.5 × 10⁻⁴;D) 2.0 × 10⁻⁴"",""A"",""Hard"",""Formula Application"",""Physical Chemistry"",""Ionic Equilibrium"""
"""Q022"",""Mathematics"",""The number of solutions to the equation |x - 1| + |x - 2| = 1 in the interval [0, 3] is:"",""A) 1;B) 2;C) 3;D) Infinite"",""B"",""Medium"",""Analytical Skills"",""Algebra"",""Absolute Value Equations"""
"""Q023"",""Physics"",""A sound wave of frequency 340 Hz travels in air (speed = 340 m/s). The wavelength is:"",""A) 0.5 m;B) 1 m;C) 2 m;D) 4 m"",""B"",""Medium"",""Formula Application"",""Waves"",""Wave Motion"""
"""Q024"",""Chemistry"",""The major product of the reaction of benzene with Cl₂ in the presence of FeCl₃ is:"",""A) Chlorobenzene;B) 1,2-Dichlorobenzene;C) 1,3-Dichlorobenzene;D) 1,4-Dichlorobenzene"",""A"",""Medium"",""Analytical Skills"",""Organic Chemistry"",""Electrophilic Substitution"""
"""Q025"",""Mathematics"",""If the vectors a = i + j and b = i - j are perpendicular, then the dot product a · b is:"",""A) 0;B) 1;C) 2;D) -1"",""A"",""Medium"",""Formula Application"",""Vectors"",""Dot Product"""
"""Q026"",""Physics"",""A lens of focal length 20 cm forms an image at 30 cm from the lens. The object distance is:"",""A) 12 cm;B) 15 cm;C) 60 cm;D) 90 cm"",""C"",""Medium"",""Formula Application"",""Optics"",""Geometrical Optics"""
"""Q027"",""Chemistry"",""The bond angle in H₂S is approximately:"",""A) 90°;B) 104.5°;C) 107°;D) 109.5°"",""A"",""Medium"",""Conceptual Understanding"",""Inorganic Chemistry"",""Chemical Bonding"""
"""Q028"",""Mathematics"",""The probability of getting at least one head in 3 tosses of a fair coin is:"",""A) 1/8;B) 3/8;C) 5/8;D) 7/8"",""D"",""Medium"",""Formula Application"",""Probability"",""Basic Probability"""
"""Q029"",""Physics"",""The magnetic field at the center of a circular loop of radius 0.1 m carrying 5 A (μ₀ = 4π × 10⁻⁷ T·m/A) is:"",""A) 10⁻⁵ T;B) 2 × 10⁻⁵ T;C) 3.14 × 10⁻⁵ T;D) 4 × 10⁻⁵ T"",""C"",""Hard"",""Formula Application"",""Electrodynamics"",""Magnetism"""
"""Q030"",""Chemistry"",""The enthalpy change for the reaction 2H₂(g) + O₂(g) → 2H₂O(l) is -572 kJ. The bond energy of O=O is 498 kJ/mol. The bond energy of H-H is:"",""A) 436 kJ/mol;B) 467 kJ/mol;C) 498 kJ/mol;D) 572 kJ/mol"",""A"",""Hard"",""Analytical Skills"",""Physical Chemistry"",""Thermochemistry"""
"""Q031"",""Mathematics"",""The equation of the tangent to the curve y = x³ at the point (1, 1) is:"",""A) y = x;B) y = 2x - 1;C) y = 3x - 2;D) y = 4x - 3"",""C"",""Medium"",""Formula Application"",""Calculus"",""Tangents and Normals"""
"""Q032"",""Physics"",""A radioactive sample has a half-life of 2 hours. The fraction remaining after 6 hours is:"",""A) 1/2;B) 1/4;C) 1/8;D) 1/16"",""C"",""Medium"",""Formula Application"",""Modern Physics"",""Nuclear Physics"""
"""Q033"",""Chemistry"",""The number of chiral centers in CH₃CH(OH)CHBrCH₃ is:"",""A) 0;B) 1;C) 2;D) 3"",""C"",""Hard"",""Analytical Skills"",""Organic Chemistry"",""Stereochemistry"""
"""Q034"",""Mathematics"",""The value of lim(x→0) (sin x - x)/x³ is:"",""A) -1/6;B) 0;C) 1/6;D) 1/3"",""A"",""Hard"",""Analytical Skills"",""Calculus"",""Limits"""
"""Q035"",""Physics"",""A particle of charge 2 μC moves in an electric field of 1000 N/C over a distance of 0.1 m. The work done is:"",""A) 0.1 mJ;B) 0.2 mJ;C) 0.3 mJ;D) 0.4 mJ"",""B"",""Medium"",""Formula Application"",""Electrodynamics"",""Electrostatics"""
"""Q036"",""Chemistry"",""The Ksp of BaSO₄ is 1.0 × 10⁻¹⁰. The solubility in 0.1 M Na₂SO₄ solution is approximately:"",""A) 1.0 × 10⁻⁹ M;B) 1.0 × 10⁻⁸ M;C) 1.0 × 10⁻⁷ M;D) 1.0 × 10⁻⁶ M"",""A"",""Hard"",""Formula Application"",""Physical Chemistry"",""Ionic Equilibrium"""
"""Q037"",""Mathematics"",""The number of ways to distribute 5 identical balls into 3 distinct boxes (with at least one ball in each box) is:"",""A) 3;B) 6;C) 9;D) 12"",""B"",""Hard"",""Analytical Skills"",""Combinatorics"",""Distributions"""
"""Q038"",""Physics"",""A convex mirror forms an image half the size of the object. If the object is 10 cm from the mirror, the focal length is:"",""A) 10 cm;B) 20 cm;C) 30 cm;D) 40 cm"",""B"",""Medium"",""Formula Application"",""Optics"",""Geometrical Optics"""
"""Q039"",""Chemistry"",""The major product of the reaction CH₃CH₂OH with conc. H₂SO₄ at 180°C is:"",""A) CH₃CHO;B) CH₂=CH₂;C) CH₃CH₂CH₃;D) CH₃OCH₂CH₃"",""B"",""Medium"",""Analytical Skills"",""Organic Chemistry"",""Dehydration Reactions"""
"""Q040"",""Mathematics"",""If z = 1 + i, then the argument of z² is:"",""A) π/4;B) π/2;C) 3π/4;D) π"",""B"",""Medium"",""Formula Application"",""Complex Numbers"",""Argument"""
"""Q041"",""Physics"",""A spring of constant 100 N/m is compressed by 0.2 m. The potential energy stored is:"",""A) 1 J;B) 2 J;C) 3 J;D) 4 J"",""B"",""Medium"",""Formula Application"",""Mechanics"",""Oscillations"""
"""Q042"",""Chemistry"",""The rate constant of a reaction doubles for a 10°C rise from 300 K. The activation energy (R = 8.314 J/mol·K) is approximately:"",""A) 53 kJ/mol;B) 58 kJ/mol;C) 63 kJ/mol;D) 68 kJ/mol"",""A"",""Hard"",""Formula Application"",""Physical Chemistry"",""Chemical Kinetics"""
"""Q043"",""Mathematics"",""The eccentricity of the ellipse 4x² + 9y² = 36 is:"",""A) √5/3;B) √5/2;C) 1/√5;D) 2/√5"",""A"",""Medium"",""Formula Application"",""Coordinate Geometry"",""Ellipse"""
"""Q044"",""Physics"",""A satellite orbits Earth at a height equal to its radius (R = 6400 km, g = 10 m/s²). The orbital speed is approximately:"",""A) 5.6 km/s;B) 7.1 km/s;C) 8.0 km/s;D) 11.2 km/s"",""A"",""Hard"",""Formula Application"",""Mechanics"",""Gravitation"""
"""Q045"",""Chemistry"",""The number of unpaired electrons in Fe²⁺ (atomic number 26) is:"",""A) 2;B) 3;C) 4;D) 5"",""C"",""Hard"",""Analytical Skills"",""Inorganic Chemistry"",""d-Block Elements"""
"""Q046"",""Mathematics"",""The value of ∫(1 to e) (ln x)/x dx is:"",""A) 1/2;B) 1;C) 3/2;D) 2"",""A"",""Hard"",""Formula Application"",""Calculus"",""Definite Integrals"""
"""Q047"",""Physics"",""The fringe width in Young’s double-slit experiment (λ = 600 nm, d = 0.2 mm, D = 1 m) is:"",""A) 1 mm;B) 2 mm;C) 3 mm;D) 4 mm"",""C"",""Hard"",""Formula Application"",""Optics"",""Wave Optics"""
"""Q048"",""Chemistry"",""The standard reduction potential of Zn²⁺/Zn is -0.76 V and Cu²⁺/Cu is +0.34 V. The EMF of the cell Zn | Zn²⁺ || Cu²⁺ | Cu is:"",""A) 0.42 V;B) 0.76 V;C) 1.10 V;D) 1.52 V"",""C"",""Medium"",""Formula Application"",""Physical Chemistry"",""Electrochemistry"""
"""Q049"",""Mathematics"",""The number of terms in the expansion of (x + y + z)⁴ is:"",""A) 10;B) 15;C) 20;D) 25"",""B"",""Hard"",""Formula Application"",""Algebra"",""Binomial Theorem"""
"""Q050"",""Physics"",""A body cools from 80°C to 60°C in 5 minutes in a room at 20°C. The time to cool from 60°C to 40°C is approximately:"",""A) 5 min;B) 6 min;C) 7 min;D) 8 min"",""C"",""Hard"",""Analytical Skills"",""Thermodynamics"",""Heat Transfer"""
"""Q051"",""Chemistry"",""The product of ozonolysis of 2-butene followed by hydrolysis is:"",""A) CH₃CHO;B) CH₃COOH;C) HCHO;D) CH₃CH₂OH"",""A"",""Medium"",""Analytical Skills"",""Organic Chemistry"",""Ozonolysis"""
"""Q052"",""Mathematics"",""If a, b, c are in AP and a², b², c² are in GP, then a, b, c are in:"",""A) AP;B) GP;C) HP;D) None"",""B"",""Hard"",""Analytical Skills"",""Algebra"",""Sequences and Series"""
"""Q053"",""Physics"",""The escape velocity from a planet of mass M and radius R is proportional to:"",""A) √M/R;B) √R/M;C) M/√R;D) R/√M"",""A"",""Medium"",""Formula Application"",""Mechanics"",""Gravitation"""
"""Q054"",""Chemistry"",""The hybridization of N in [NO₃]⁻ is:"",""A) sp;B) sp²;C) sp³;D) sp³d"",""B"",""Medium"",""Conceptual Understanding"","
"""Q101"",""Mathematics"",""The sum of the roots of the equation x² - 5x + k = 0 is 5. If one root is 2, then k is:"",""A) 6;B) 8;C) 10;D) 12"",""A"",""Medium"",""Analytical Skills"",""Algebra"",""Quadratic Equations"""
"""Q102"",""Physics"",""A projectile is launched with a speed of 30 m/s at 60° to the horizontal (g = 10 m/s²). The horizontal range is:"",""A) 45√3 m;B) 60 m;C) 45 m;D) 30√3 m"",""A"",""Medium"",""Formula Application"",""Mechanics"",""Projectile Motion"""
"""Q103"",""Chemistry"",""The oxidation state of S in Na₂S₂O₃ is:"",""A) +2;B) +4;C) +6;D) +8"",""A"",""Medium"",""Analytical Skills"",""Inorganic Chemistry"",""Redox Reactions"""
"""Q104"",""Mathematics"",""The value of ∫(0 to π) sin²x dx is:"",""A) π/4;B) π/2;C) π;D) 2π"",""B"",""Medium"",""Formula Application"",""Calculus"",""Definite Integrals"""
"""Q105"",""Physics"",""A 5 kg block on a frictionless surface is pulled by a 20 N force at 30° to the horizontal (g = 10 m/s²). The acceleration is:"",""A) 2 m/s²;B) 3 m/s²;C) 4 m/s²;D) 5 m/s²"",""A"",""Medium"",""Formula Application"",""Mechanics"",""Newton’s Laws"""
"""Q106"",""Chemistry"",""The rate constant of a reaction increases from 2 × 10⁻³ s⁻¹ at 300 K to 8 × 10⁻³ s⁻¹ at 310 K. The activation energy (R = 8.314 J/mol·K) is approximately:"",""A) 58 kJ/mol;B) 62 kJ/mol;C) 66 kJ/mol;D) 70 kJ/mol"",""A"",""Hard"",""Formula Application"",""Physical Chemistry"",""Chemical Kinetics"""
"""Q107"",""Mathematics"",""The number of solutions to the equation cos x = x in [0, π] is:"",""A) 0;B) 1;C) 2;D) 3"",""B"",""Hard"",""Analytical Skills"",""Trigonometry"",""Trigonometric Equations"""
"""Q108"",""Physics"",""A circular loop of radius 0.2 m carries a current of 10 A. The magnetic field at its center (μ₀ = 4π × 10⁻⁷ T·m/A) is:"",""A) 2 × 10⁻⁵ T;B) 3.14 × 10⁻⁵ T;C) 5 × 10⁻⁵ T;D) 6.28 × 10⁻⁵ T"",""B"",""Medium"",""Formula Application"",""Electrodynamics"",""Magnetism"""
"""Q109"",""Chemistry"",""The hybridization of the central atom in SF₄ is:"",""A) sp³;B) sp³d;C) sp³d²;D) sp³d³"",""B"",""Medium"",""Conceptual Understanding"",""Inorganic Chemistry"",""Chemical Bonding"""
"""Q110"",""Mathematics"",""The coefficient of x³ in the expansion of (1 + 2x)⁵ is:"",""A) 20;B) 40;C) 80;D) 160"",""C"",""Medium"",""Formula Application"",""Algebra"",""Binomial Theorem"""
"""Q111"",""Physics"",""A capacitor of 4 μF is charged to 50 V and then connected in parallel with an uncharged 2 μF capacitor. The final potential difference is:"",""A) 25 V;B) 33.3 V;C) 50 V;D) 66.7 V"",""B"",""Medium"",""Formula Application"",""Electrodynamics"",""Capacitance"""
"""Q112"",""Chemistry"",""The number of chiral centers in CH₃CHClCH(OH)CH₃ is:"",""A) 1;B) 2;C) 3;D) 4"",""B"",""Hard"",""Analytical Skills"",""Organic Chemistry"",""Stereochemistry"""
"""Q113"",""Mathematics"",""If a + b + c = 0, then the value of a³ + b³ + c³ is:"",""A) 0;B) abc;C) 3abc;D) -3abc"",""C"",""Medium"",""Formula Application"",""Algebra"",""Identities"""
"""Q114"",""Physics"",""A gas expands isothermally from 2 L to 4 L at 300 K against 1 atm. The work done is:"",""A) 101.3 J;B) 202.6 J;C) 303.9 J;D) 405.2 J"",""B"",""Medium"",""Formula Application"",""Thermodynamics"",""Work Done"""
"""Q115"",""Chemistry"",""The pH of a 0.01 M solution of CH₃COOH (Ka = 1.8 × 10⁻⁵) is approximately:"",""A) 2.87;B) 3.37;C) 3.87;D) 4.37"",""C"",""Hard"",""Formula Application"",""Physical Chemistry"",""Ionic Equilibrium"""
"""Q116"",""Mathematics"",""The area of the region bounded by y = |x| and y = 2 from x = -2 to x = 2 is:"",""A) 2;B) 4;C) 6;D) 8"",""B"",""Medium"",""Formula Application"",""Calculus"",""Area Under Curves"""
"""Q117"",""Physics"",""The escape velocity from a planet with twice the mass and half the radius of Earth (v₀ = 11.2 km/s) is:"",""A) 11.2 km/s;B) 15.8 km/s;C) 22.4 km/s;D) 31.6 km/s"",""C"",""Hard"",""Formula Application"",""Mechanics"",""Gravitation"""
"""Q118"",""Chemistry"",""The major product of the reaction of CH₃CH=CHCH₃ with Br₂ in CCl₄ is:"",""A) CH₃CHBrCHBrCH₃;B) CH₃CH₂CHBrCH₃;C) CH₃CHBrCH₂CH₃;D) CH₃CH₂CH₂CHBr₂"",""A"",""Medium"",""Analytical Skills"",""Organic Chemistry"",""Addition Reactions"""
"""Q119"",""Mathematics"",""The eccentricity of the hyperbola x²/16 - y²/9 = 1 is:"",""A) 5/4;B) 5/3;C) 4/3;D) 3/4"",""B"",""Medium"",""Formula Application"",""Coordinate Geometry"",""Hyperbola"""
"""Q120"",""Physics"",""A particle moves with velocity v = 3i + 4j m/s in a magnetic field B = 2k T. The magnitude of the force (q = 2 C) is:"",""A) 10 N;B) 20 N;C) 30 N;D) 40 N"",""B"",""Medium"",""Formula Application"",""Electrodynamics"",""Motion in Magnetic Field"""
"""Q121"",""Chemistry"",""The bond order of N₂⁺ is:"",""A) 1.5;B) 2;C) 2.5;D) 3"",""C"",""Medium"",""Formula Application"",""Inorganic Chemistry"",""Chemical Bonding"""
"""Q122"",""Mathematics"",""The value of lim(x→0) (1 - cos x)/x² is:"",""A) 0;B) 1/4;C) 1/2;D) 1"",""C"",""Hard"",""Formula Application"",""Calculus"",""Limits"""
"""Q123"",""Physics"",""A thin disc of mass 2 kg and radius 0.5 m rotates at 4 rad/s. Its rotational kinetic energy is:"",""A) 4 J;B) 8 J;C) 12 J;D) 16 J"",""A"",""Medium"",""Formula Application"",""Mechanics"",""Rotational Motion"""
"""Q124"",""Chemistry"",""The standard enthalpy of formation of CO(g) is -110 kJ/mol and CO₂(g) is -393 kJ/mol. The enthalpy change for C(s) + CO₂(g) → 2CO(g) is:"",""A) -172 kJ;B) +172 kJ;C) -283 kJ;D) +283 kJ"",""B"",""Hard"",""Analytical Skills"",""Physical Chemistry"",""Thermochemistry"""
"""Q125"",""Mathematics"",""The number of ways to arrange 6 distinct objects in a circle is:"",""A) 120;B) 360;C) 720;D) 1440"",""A"",""Medium"",""Formula Application"",""Combinatorics"",""Circular Permutations"""
"""Q126"",""Physics"",""The wavelength of light emitted when an electron transitions from n = 3 to n = 2 in hydrogen (R = 1.097 × 10⁷ m⁻¹) is approximately:"",""A) 434 nm;B) 486 nm;C) 656 nm;D) 410 nm"",""C"",""Hard"",""Formula Application"",""Modern Physics"",""Atomic Structure"""
"""Q127"",""Chemistry"",""The number of geometrical isomers of CH₃CH=CHCH=CH₂ is:"",""A) 2;B) 3;C) 4;D) 6"",""A"",""Medium"",""Analytical Skills"",""Organic Chemistry"",""Stereochemistry"""
"""Q128"",""Mathematics"",""If the lines x + 2y = 1 and 3x + ky = 2 are perpendicular, then k is:"",""A) -6;B) -3;C) 3;D) 6"",""A"",""Medium"",""Formula Application"",""Coordinate Geometry"",""Straight Lines"""
"""Q129"",""Physics"",""A parallel plate capacitor with capacitance 10 μF is charged to 100 V. The energy stored is:"",""A) 0.025 J;B) 0.05 J;C) 0.075 J;D) 0.1 J"",""B"",""Medium"",""Formula Application"",""Electrodynamics"",""Capacitance"""
"""Q130"",""Chemistry"",""The freezing point depression of a 0.1 m Na₂SO₄ solution (Kf = 1.86°C/m) is approximately:"",""A) 0.186°C;B) 0.372°C;C) 0.558°C;D) 0.744°C"",""C"",""Medium"",""Formula Application"",""Physical Chemistry"",""Colligative Properties"""
"""Q131"",""Mathematics"",""The value of ∫(0 to 1) x² e^x dx is:"",""A) e - 1;B) e - 2;C) 2e - 1;D) 2e - 2"",""B"",""Hard"",""Formula Application"",""Calculus"",""Integration by Parts"""
"""Q132"",""Physics"",""A body of mass 2 kg falls freely from 20 m (g = 10 m/s²). The kinetic energy just before hitting the ground is:"",""A) 200 J;B) 300 J;C) 400 J;D) 500 J"",""C"",""Medium"",""Formula Application"",""Mechanics"",""Work and Energy"""
"""Q133"",""Chemistry"",""The reaction CH₃CH₂OH + PBr₃ → CH₃CH₂Br + H₃PO₃ is an example of:"",""A) Substitution;B) Elimination;C) Addition;D) Oxidation"",""A"",""Medium"",""Analytical Skills"",""Organic Chemistry"",""Substitution Reactions"""
"""Q134"",""Mathematics"",""The determinant of the matrix [[2, 1, 0], [1, 2, 1], [0, 1, 2]] is:"",""A) 5;B) 7;C) 9;D) 11"",""B"",""Hard"",""Formula Application"",""Algebra"",""Determinants"""
"""Q135"",""Physics"",""A sound wave of frequency 170 Hz has a wavelength of 2 m in air. The speed of sound is:"",""A) 170 m/s;B) 340 m/s;C) 510 m/s;D) 680 m/s"",""B"",""Medium"",""Formula Application"",""Waves"",""Wave Motion"""
"""Q136"",""Chemistry"",""The cell potential for Cu | Cu²⁺ (0.1 M) || Ag⁺ (0.01 M) | Ag (E°Cu = 0.34 V, E°Ag = 0.80 V) at 298 K is approximately:"",""A) 0.41 V;B) 0.46 V;C) 0.51 V;D) 0.56 V"",""C"",""Hard"",""Formula Application"",""Physical Chemistry"",""Electrochemistry"""
"""Q137"",""Mathematics"",""The minimum value of f(x) = 2x² - 8x + 9 is:"",""A) 1;B) 2;C) 3;D) 4"",""A"",""Medium"",""Formula Application"",""Algebra"",""Quadratic Functions"""
"""Q138"",""Physics"",""A thin rod of length 1 m and mass 3 kg rotates about one end at 2 rad/s. The rotational kinetic energy is:"",""A) 2 J;B) 4 J;C) 6 J;D) 8 J"",""A"",""Medium"",""Formula Application"",""Mechanics"",""Rotational Motion"""
"""Q139"",""Chemistry"",""The product of the reaction CH₃CHO + HCN → ? is:"",""A) CH₃CH(OH)CN;B) CH₃COOH;C) CH₃CH₂OH;D) CH₃CN"",""A"",""Medium"",""Analytical Skills"",""Organic Chemistry"",""Addition Reactions"""
"""Q140"",""Mathematics"",""The number of real solutions to √(x + 2) = x is:"",""A) 0;B) 1;C) 2;D) 3"",""C"",""Hard"",""Analytical Skills"",""Algebra"",""Equations"""
"""Q141"",""Physics"",""The critical angle for a medium with refractive index √3 is:"",""A) 30°;B) 45°;C) 60°;D) 90°"",""A"",""Medium"",""Formula Application"",""Optics"",""Total Internal Reflection"""
"""Q142"",""Chemistry"",""The entropy change for the vaporization of 1 mole of water at 100°C (ΔH_vap = 40.7 kJ/mol) is approximately:"",""A) 109 J/mol·K;B) 119 J/mol·K;C) 129 J/mol·K;D) 139 J/mol·K"",""A"",""Hard"",""Formula Application"",""Physical Chemistry"",""Thermodynamics"""
"""Q143"",""Mathematics"",""The sum of the series 1 + 2/3 + 4/9 + 8/27 + ... to infinity is:"",""A) 2;B) 3;C) 4;D) 5"",""B"",""Hard"",""Formula Application"",""Algebra"",""Geometric Series"""
"""Q144"",""Physics"",""A particle of mass 1 kg oscillates with amplitude 0.1 m and frequency 2 Hz. The maximum kinetic energy is:"",""A) 0.08 J;B) 0.16 J;C) 0.24 J;D) 0.32 J"",""B"",""Hard"",""Formula Application"",""Mechanics"",""Oscillations"""
"""Q145"",""Chemistry"",""The number of unpaired electrons in [NiCl₄]²⁻ (Ni atomic number = 28, tetrahedral) is:"",""A) 0;B) 1;C) 2;D) 3"",""C"",""Hard"",""Analytical Skills"",""Inorganic Chemistry"",""Coordination Compounds"""
"""Q146"",""Mathematics"",""The angle between the planes x + y + z = 1 and x - 2y + 3z = 2 is:"",""A) cos⁻¹(2/√14);B) cos⁻¹(4/√14);C) cos⁻¹(2/√21);D) cos⁻¹(4/√21)"",""A"",""Hard"",""Formula Application"",""Coordinate Geometry"",""3D Geometry"""
"""Q147"",""Physics"",""The power of a lens forming a virtual image at 20 cm when the object is at 40 cm is:"",""A) +2.5 D;B) -2.5 D;C) +5 D;D) -5 D"",""A"",""Medium"",""Formula Application"",""Optics"",""Geometrical Optics"""
"""Q148"",""Chemistry"",""The boiling point elevation of a 0.2 m glucose solution (Kb = 0.52°C/m) is:"",""A) 0.052°C;B) 0.104°C;C) 0.156°C;D) 0.208°C"",""B"",""Medium"",""Formula Application"",""Physical Chemistry"",""Colligative Properties"""
"""Q149"",""Mathematics"",""The probability of getting a sum of 7 when two dice are rolled is:"",""A) 1/12;B) 1/9;C) 1/6;D) 1/4"",""C"",""Medium"",""Formula Application"",""Probability"",""Dice Problems"""
"""Q150"",""Physics"",""The rms speed of O₂ molecules at 300 K (R = 8.31 J/mol·K, M = 32 g/mol) is approximately:"",""A) 482 m/s;B) 562 m/s;C) 642 m/s;D) 722 m/s"",""A"",""Medium"",""Formula Application"",""Thermodynamics"",""Kinetic Theory"""
"31,Mathematics,What is the value of lim (x→0) (sin x / x)?,""A) 0, B) 1, C) ∞, D) -1"",B) 1,Medium,Conceptual,Limits"
"32,Mathematics,Find the value of ∫ e^x dx.,""A) e^x, B) e^x + C, C) x e^x, D) ln(e^x)"",B) e^x + C,Easy,Computational,Integration"
"33,Mathematics,The equation of a circle with center (h, k) and radius r is:,""A) (x−h)^2 + (y−k)^2 = r^2, B) x^2 + y^2 = r, C) x^2 + y^2 − h = r^2, D) (x+h)^2 + (y+k)^2 = r^2"",A) (x−h)^2 + (y−k)^2 = r^2,Easy,Conceptual,Coordinate Geometry"
"34,Mathematics,If A is a 3×3 matrix with determinant 5, what is the determinant of 2A?,""A) 10, B) 40, C) 30, D) 125"",B) 40,Medium,Computational,Matrices"
"35,Mathematics,The roots of the equation x^2 - 7x + 12 = 0 are:,""A) 3,4, B) 2,5, C) 6,1, D) 4,5"",A) 3,4,Easy,Algebraic,Quadratic Equations"
